time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.radiation_type,.field_of_view,.min_range,.max_range,.range
2020/05/27/12:41:52.090427,217,1590583311,797485351,sonar,0,0.0,0.0,7.5720000267,5.07000017166
2020/05/27/12:41:52.391649,218,1590583312,88489055,sonar,0,0.0,0.0,7.56699991226,5.07000017166
2020/05/27/12:41:52.693590,219,1590583312,390992641,sonar,0,0.0,0.0,7.56799983978,5.0689997673
2020/05/27/12:41:52.941214,220,1590583312,692982196,sonar,0,0.0,0.0,7.56500005722,5.06500005722
2020/05/27/12:41:53.207583,221,1590583312,943452358,sonar,0,0.0,0.0,7.55900001526,5.06699991226
2020/05/27/12:41:53.505594,222,1590583313,207739591,sonar,0,0.0,0.0,7.56199979782,5.04400014877
2020/05/27/12:41:53.808222,223,1590583313,505752801,sonar,0,0.0,0.0,7.52899980545,5.05499982834
2020/05/27/12:41:54.100472,224,1590583313,808374881,sonar,0,0.0,0.0,7.54500007629,5.03299999237
2020/05/27/12:41:54.351098,225,1590583314,100128650,sonar,0,0.0,0.0,7.51200008392,5.00600004196
2020/05/27/12:41:54.614109,226,1590583314,350322961,sonar,0,0.0,0.0,7.47300004959,5.00899982452
2020/05/27/12:41:54.909136,227,1590583314,614254236,sonar,0,0.0,0.0,7.47599983215,5.00500011444
2020/05/27/12:41:55.217848,228,1590583314,908665657,sonar,0,0.0,0.0,7.46999979019,5.00600004196
2020/05/27/12:41:55.511315,229,1590583315,217296838,sonar,0,0.0,0.0,7.47200012207,5.00500011444
2020/05/27/12:41:55.808774,230,1590583315,510600566,sonar,0,0.0,0.0,7.46999979019,5.00500011444
2020/05/27/12:41:56.116859,231,1590583315,808246374,sonar,0,0.0,0.0,7.46999979019,5.00600004196
2020/05/27/12:41:56.413720,232,1590583316,116062402,sonar,0,0.0,0.0,7.47200012207,5.00400018692
2020/05/27/12:41:56.709126,233,1590583316,412706613,sonar,0,0.0,0.0,7.46799993515,4.99800014496
2020/05/27/12:41:57.005293,234,1590583316,709152221,sonar,0,0.0,0.0,7.46000003815,4.97599983215
2020/05/27/12:41:57.296263,235,1590583317,5344867,sonar,0,0.0,0.0,7.42700004578,4.97499990463
2020/05/27/12:41:57.599850,236,1590583317,296337604,sonar,0,0.0,0.0,7.42600011826,4.96700000763
2020/05/27/12:41:57.850491,237,1590583317,599341392,sonar,0,0.0,0.0,7.41400003433,4.96799993515
2020/05/27/12:41:58.112584,238,1590583317,850537061,sonar,0,0.0,0.0,7.41499996185,4.96600008011
2020/05/27/12:41:58.407799,239,1590583318,111908435,sonar,0,0.0,0.0,7.41300010681,4.95100021362
2020/05/27/12:41:58.716662,240,1590583318,406885385,sonar,0,0.0,0.0,7.38999986649,4.97599983215
2020/05/27/12:41:59.011707,241,1590583318,715981006,sonar,0,0.0,0.0,7.42700004578,4.97499990463
2020/05/27/12:41:59.307526,242,1590583319,11068582,sonar,0,0.0,0.0,7.42600011826,4.97399997711
2020/05/27/12:41:59.620867,243,1590583319,306729555,sonar,0,0.0,0.0,7.42500019073,4.97499990463
